time,S1,S2,S3,S4,k1,k2,k3,k4,k5,kavo,comp,comp2
3.303482587,-36.97401044,-18.30469539,4,2,1.1,8.12,0.475,4.956498602,0.475,1.000023545,8.303482587,4.956498602
3.313432836,-37.11921896,-18.31369039,4,2,1.1,8.12,0.475,4.989418579,0.475,1.000023545,8.313432836,4.989418579
3.323383085,-37.26599266,-18.32395284,4,2,1.1,8.12,0.475,5.022437563,0.475,1.000023545,8.323383085,5.022437563
3.333333333,-37.41432146,-18.33546061,4,2,1.1,8.12,0.475,5.055555556,0.475,1.000023545,8.333333333,5.055555556
3.343283582,-37.56419557,-18.34819219,4,2,1.1,8.12,0.475,5.088772555,0.475,1.000023545,8.343283582,5.088772555
3.353233831,-37.71560543,-18.36212678,4,2,1.1,8.12,0.475,5.122088562,0.475,1.000023545,8.353233831,5.122088562
3.36318408,-37.86854172,-18.37724417,4,2,1.1,8.12,0.475,5.155503577,0.475,1.000023545,8.36318408,5.155503577
3.373134328,-38.02299538,-18.39352477,4,2,1.1,8.12,0.475,5.189017599,0.475,1.000023545,8.373134328,5.189017599
3.383084577,-38.17895755,-18.41094959,4,2,1.1,8.12,0.475,5.222630628,0.475,1.000023545,8.383084577,5.222630628
3.393034826,-38.33641961,-18.42950017,4,2,1.1,8.12,0.475,5.256342665,0.475,1.000023545,8.393034826,5.256342665
3.402985075,-38.49537315,-18.44915863,4,2,1.1,8.12,0.475,5.290153709,0.475,1.000023545,8.402985075,5.290153709
3.412935323,-38.65580997,-18.4699076,4,2,1.1,8.12,0.475,5.324063761,0.475,1.000023545,8.412935323,5.324063761
3.422885572,-38.81772206,-18.49173021,4,2,1.1,8.12,0.475,5.35807282,0.475,1.000023545,8.422885572,5.35807282
3.432835821,-38.98110164,-18.51461009,4,2,1.1,8.12,0.475,5.392180887,0.475,1.000023545,8.432835821,5.392180887
3.44278607,-39.1459411,-18.53853133,4,2,1.1,8.12,0.475,5.426387961,0.475,1.000023545,8.44278607,5.426387961
3.452736318,-39.31223301,-18.56347848,4,2,1.1,8.12,0.475,5.460694042,0.475,1.000023545,8.452736318,5.460694042
3.462686567,-39.47997013,-18.58943654,4,2,1.1,8.12,0.475,5.495099131,0.475,1.000023545,8.462686567,5.495099131
3.472636816,-39.64914541,-18.61639093,4,2,1.1,8.12,0.475,5.529603228,0.475,1.000023545,8.472636816,5.529603228
3.482587065,-39.81975196,-18.64432747,4,2,1.1,8.12,0.475,5.564206332,0.475,1.000023545,8.482587065,5.564206332
3.492537313,-39.99178304,-18.67323239,4,2,1.1,8.12,0.475,5.598908443,0.475,1.000023545,8.492537313,5.598908443
3.502487562,-40.1652321,-18.70309229,4,2,1.1,8.12,0.475,5.633709562,0.475,1.000023545,8.502487562,5.633709562
3.512437811,-40.34009274,-18.73389415,4,2,1.1,8.12,0.475,5.668609688,0.475,1.000023545,8.512437811,5.668609688
3.52238806,-40.5163587,-18.76562532,4,2,1.1,8.12,0.475,5.703608822,0.475,1.000023545,8.52238806,5.703608822
3.532338308,-40.69402388,-18.79827346,4,2,1.1,8.12,0.475,5.738706963,0.475,1.000023545,8.532338308,5.738706963
3.542288557,-40.87308234,-18.83182661,4,2,1.1,8.12,0.475,5.773904111,0.475,1.000023545,8.542288557,5.773904111
3.552238806,-41.05352826,-18.86627309,4,2,1.1,8.12,0.475,5.809200267,0.475,1.000023545,8.552238806,5.809200267
3.562189055,-41.23535596,-18.90160158,4,2,1.1,8.12,0.475,5.844595431,0.475,1.000023545,8.562189055,5.844595431
3.572139303,-41.41855991,-18.93780102,4,2,1.1,8.12,0.475,5.880089602,0.475,1.000023545,8.572139303,5.880089602
3.582089552,-41.60313469,-18.97486067,4,2,1.1,8.12,0.475,5.91568278,0.475,1.000023545,8.582089552,5.91568278
3.592039801,-41.78907502,-19.01277006,4,2,1.1,8.12,0.475,5.951374966,0.475,1.000023545,8.592039801,5.951374966
3.60199005,-41.97637575,-19.05151902,4,2,1.1,8.12,0.475,5.987166159,0.475,1.000023545,8.60199005,5.987166159
3.611940299,-42.16503185,-19.09109761,4,2,1.1,8.12,0.475,6.02305636,0.475,1.000023545,8.611940299,6.02305636
3.621890547,-42.35503838,-19.13149618,4,2,1.1,8.12,0.475,6.059045568,0.475,1.000023545,8.621890547,6.059045568
3.631840796,-42.54639056,-19.17270531,4,2,1.1,8.12,0.475,6.095133784,0.475,1.000023545,8.631840796,6.095133784
3.641791045,-42.73908368,-19.21471583,4,2,1.1,8.12,0.475,6.131321007,0.475,1.000023545,8.641791045,6.131321007
3.651741294,-42.93311317,-19.25751881,4,2,1.1,8.12,0.475,6.167607238,0.475,1.000023545,8.651741294,6.167607238
3.661691542,-43.12847456,-19.30110555,4,2,1.1,8.12,0.475,6.203992476,0.475,1.000023545,8.661691542,6.203992476
3.671641791,-43.32516347,-19.34546754,4,2,1.1,8.12,0.475,6.240476721,0.475,1.000023545,8.671641791,6.240476721
3.68159204,-43.52317563,-19.39059652,4,2,1.1,8.12,0.475,6.277059974,0.475,1.000023545,8.68159204,6.277059974
3.691542289,-43.72250688,-19.43648443,4,2,1.1,8.12,0.475,6.313742234,0.475,1.000023545,8.691542289,6.313742234
3.701492537,-43.92315314,-19.4831234,4,2,1.1,8.12,0.475,6.350523502,0.475,1.000023545,8.701492537,6.350523502
3.711442786,-44.12511042,-19.53050577,4,2,1.1,8.12,0.475,6.387403777,0.475,1.000023545,8.711442786,6.387403777
3.721393035,-44.32837485,-19.57862404,4,2,1.1,8.12,0.475,6.42438306,0.475,1.000023545,8.721393035,6.42438306
3.731343284,-44.53294263,-19.62747093,4,2,1.1,8.12,0.475,6.46146135,0.475,1.000023545,8.731343284,6.46146135
3.741293532,-44.73881005,-19.67703932,4,2,1.1,8.12,0.475,6.498638648,0.475,1.000023545,8.741293532,6.498638648
3.751243781,-44.94597348,-19.72732226,4,2,1.1,8.12,0.475,6.535914953,0.475,1.000023545,8.751243781,6.535914953
3.76119403,-45.15442938,-19.77831299,4,2,1.1,8.12,0.475,6.573290265,0.475,1.000023545,8.76119403,6.573290265
3.771144279,-45.36417429,-19.83000487,4,2,1.1,8.12,0.475,6.610764585,0.475,1.000023545,8.771144279,6.610764585
3.781094527,-45.57520484,-19.88239147,4,2,1.1,8.12,0.475,6.648337913,0.475,1.000023545,8.781094527,6.648337913
3.791044776,-45.78751772,-19.93546648,4,2,1.1,8.12,0.475,6.686010247,0.475,1.000023545,8.791044776,6.686010247
3.800995025,-46.00110971,-19.98922374,4,2,1.1,8.12,0.475,6.72378159,0.475,1.000023545,8.800995025,6.72378159
3.810945274,-46.21597766,-20.04365726,4,2,1.1,8.12,0.475,6.761651939,0.475,1.000023545,8.810945274,6.761651939
3.820895522,-46.43211849,-20.09876116,4,2,1.1,8.12,0.475,6.799621297,0.475,1.000023545,8.820895522,6.799621297
3.830845771,-46.64952918,-20.15452972,4,2,1.1,8.12,0.475,6.837689661,0.475,1.000023545,8.830845771,6.837689661
3.84079602,-46.86820682,-20.21095734,4,2,1.1,8.12,0.475,6.875857033,0.475,1.000023545,8.84079602,6.875857033
3.850746269,-47.08814852,-20.26803856,4,2,1.1,8.12,0.475,6.914123413,0.475,1.000023545,8.850746269,6.914123413
3.860696517,-47.30935148,-20.32576804,4,2,1.1,8.12,0.475,6.9524888,0.475,1.000023545,8.860696517,6.9524888
3.870646766,-47.53181297,-20.38414055,4,2,1.1,8.12,0.475,6.990953194,0.475,1.000023545,8.870646766,6.990953194
3.880597015,-47.7555303,-20.44315101,4,2,1.1,8.12,0.475,7.029516596,0.475,1.000023545,8.880597015,7.029516596
3.890547264,-47.98050087,-20.50279443,4,2,1.1,8.12,0.475,7.068179006,0.475,1.000023545,8.890547264,7.068179006
3.900497512,-48.20672212,-20.56306594,4,2,1.1,8.12,0.475,7.106940422,0.475,1.000023545,8.900497512,7.106940422
3.910447761,-48.43419156,-20.62396078,4,2,1.1,8.12,0.475,7.145800847,0.475,1.000023545,8.910447761,7.145800847
3.92039801,-48.66290676,-20.6854743,4,2,1.1,8.12,0.475,7.184760278,0.475,1.000023545,8.92039801,7.184760278
3.930348259,-48.89286533,-20.74760194,4,2,1.1,8.12,0.475,7.223818717,0.475,1.000023545,8.930348259,7.223818717
3.940298507,-49.12406497,-20.81033926,4,2,1.1,8.12,0.475,7.262976164,0.475,1.000023545,8.940298507,7.262976164
3.950248756,-49.35650338,-20.87368191,4,2,1.1,8.12,0.475,7.302232618,0.475,1.000023545,8.950248756,7.302232618
3.960199005,-49.59017837,-20.93762562,4,2,1.1,8.12,0.475,7.34158808,0.475,1.000023545,8.960199005,7.34158808
3.970149254,-49.82508778,-21.00216625,4,2,1.1,8.12,0.475,7.381042549,0.475,1.000023545,8.970149254,7.381042549
3.980099502,-50.06122948,-21.06729971,4,2,1.1,8.12,0.475,7.420596025,0.475,1.000023545,8.980099502,7.420596025
3.990049751,-50.29860142,-21.13302203,4,2,1.1,8.12,0.475,7.460248509,0.475,1.000023545,8.990049751,7.460248509
4,-50.53720158,-21.19932931,4,2,1.1,8.12,0.475,7.5,0.475,1.000023545,9,7.5
4.009950249,-50.77702801,-21.26621773,4,2,1.1,8.12,0.475,7.539850499,0.475,1.000023545,9.009950249,7.539850499
4.019900498,-51.01807878,-21.33368357,4,2,1.1,8.12,0.475,7.579800005,0.475,1.000023545,9.019900498,7.579800005
4.029850746,-51.26035202,-21.40172316,4,2,1.1,8.12,0.475,7.619848519,0.475,1.000023545,9.029850746,7.619848519
4.039800995,-51.50384591,-21.47033294,4,2,1.1,8.12,0.475,7.65999604,0.475,1.000023545,9.039800995,7.65999604
4.049751244,-51.74855866,-21.53950941,4,2,1.1,8.12,0.475,7.700242568,0.475,1.000023545,9.049751244,7.700242568
4.059701493,-51.99448853,-21.60924914,4,2,1.1,8.12,0.475,7.740588104,0.475,1.000023545,9.059701493,7.740588104
4.069651741,-52.24163384,-21.67954878,4,2,1.1,8.12,0.475,7.781032648,0.475,1.000023545,9.069651741,7.781032648
4.07960199,-52.48999292,-21.75040504,4,2,1.1,8.12,0.475,7.821576199,0.475,1.000023545,9.07960199,7.821576199
4.089552239,-52.73956415,-21.8218147,4,2,1.1,8.12,0.475,7.862218757,0.475,1.000023545,9.089552239,7.862218757
4.099502488,-52.99034597,-21.89377463,4,2,1.1,8.12,0.475,7.902960323,0.475,1.000023545,9.099502488,7.902960323
4.109452736,-53.24233684,-21.96628173,4,2,1.1,8.12,0.475,7.943800896,0.475,1.000023545,9.109452736,7.943800896
